Cp,Voltage
15.1452E-9,-200.0000E+0
15.1486E-9,-190.0000E+0
15.1527E-9,-180.0000E+0
15.1468E-9,-170.0000E+0
15.1527E-9,-160.0000E+0
15.1476E-9,-150.0000E+0
15.1444E-9,-140.0000E+0
15.1473E-9,-130.0000E+0
15.1454E-9,-120.0000E+0
15.1490E-9,-110.0000E+0
15.1464E-9,-100.0000E+0
15.1456E-9,-90.0000E+0
15.1490E-9,-80.0000E+0
15.1438E-9,-70.0000E+0
15.1455E-9,-60.0000E+0
15.1410E-9,-50.0000E+0
15.1393E-9,-40.0000E+0
15.1453E-9,-30.0000E+0
15.1418E-9,-20.0000E+0
15.1458E-9,-10.0000E+0
15.1442E-9,000.0000E+0
15.1412E-9,10.0000E+0
15.1444E-9,20.0000E+0
15.1435E-9,30.0000E+0
15.1408E-9,40.0000E+0
15.1459E-9,50.0000E+0
15.1407E-9,60.0000E+0
15.1417E-9,70.0000E+0
15.1424E-9,80.0000E+0
15.1359E-9,90.0000E+0
15.1394E-9,100.0000E+0
15.1379E-9,110.0000E+0
15.1364E-9,120.0000E+0
15.1390E-9,130.0000E+0
15.1414E-9,140.0000E+0
15.1414E-9,150.0000E+0
15.1350E-9,160.0000E+0
15.1394E-9,170.0000E+0
15.1431E-9,180.0000E+0
15.1364E-9,190.0000E+0
15.1440E-9,200.0000E+0
