Cp,Voltage
-152.7178E-12,-200.0000E+0
-152.5045E-12,-190.0000E+0
-152.4096E-12,-180.0000E+0
-152.2763E-12,-170.0000E+0
-151.6164E-12,-160.0000E+0
-153.2051E-12,-150.0000E+0
-152.4448E-12,-140.0000E+0
-152.6036E-12,-130.0000E+0
-152.5207E-12,-120.0000E+0
-152.9262E-12,-110.0000E+0
-152.4652E-12,-100.0000E+0
-152.5064E-12,-90.0000E+0
-152.2472E-12,-80.0000E+0
-152.5244E-12,-70.0000E+0
-152.3778E-12,-60.0000E+0
-152.6436E-12,-50.0000E+0
-152.7564E-12,-40.0000E+0
-152.0732E-12,-30.0000E+0
-152.7059E-12,-20.0000E+0
-152.9574E-12,-10.0000E+0
-151.8021E-12,000.0000E+0
-152.8944E-12,10.0000E+0
-152.9138E-12,20.0000E+0
-152.4276E-12,30.0000E+0
-152.4989E-12,40.0000E+0
-153.7400E-12,50.0000E+0
-152.6273E-12,60.0000E+0
-152.3639E-12,70.0000E+0
-152.3157E-12,80.0000E+0
-152.5632E-12,90.0000E+0
-151.7710E-12,100.0000E+0
-152.7859E-12,110.0000E+0
-152.1600E-12,120.0000E+0
-152.5487E-12,130.0000E+0
-153.2963E-12,140.0000E+0
-152.2594E-12,150.0000E+0
-152.3760E-12,160.0000E+0
-152.1924E-12,170.0000E+0
-152.4257E-12,180.0000E+0
-151.6909E-12,190.0000E+0
-152.7893E-12,200.0000E+0
