Cp_AB,F_AB
23.0962E-9,1.0000E+3
21.8817E-9,2.0000E+3
21.2264E-9,3.0000E+3
20.7709E-9,4.0000E+3
20.4271E-9,5.0000E+3
20.1507E-9,6.0000E+3
19.9150E-9,7.0000E+3
19.7137E-9,8.0000E+3
19.5423E-9,9.0000E+3
19.3883E-9,10.0000E+3
18.4139E-9,20.0000E+3
17.8461E-9,30.0000E+3
17.4453E-9,40.0000E+3
17.1410E-9,50.0000E+3
16.8899E-9,60.0000E+3
16.6945E-9,70.0000E+3
16.5204E-9,80.0000E+3
16.3689E-9,90.0000E+3
16.2349E-9,100.0000E+3
15.4064E-9,200.0000E+3
14.8355E-9,300.0000E+3
14.4963E-9,400.0000E+3
14.2411E-9,500.0000E+3
14.0098E-9,600.0000E+3
13.8487E-9,700.0000E+3
13.6985E-9,800.0000E+3
13.5576E-9,900.0000E+3
13.3920E-9,1.0000E+6
12.1114E-9,2.0000E+6
10.8976E-9,3.0000E+6
9.5195E-9,4.0000E+6
8.4572E-9,5.0000E+6
7.3741E-9,6.0000E+6
6.8031E-9,7.0000E+6
4.5431E-9,8.0000E+6
-209.1752E-12,9.0000E+6
-13.0687E-12,10.0000E+6
,
,
,
,
