Cp_AB,F_AB
22.1278E-9,1.0000E+3
21.1574E-9,2.0000E+3
20.5941E-9,3.0000E+3
20.1964E-9,4.0000E+3
19.8929E-9,5.0000E+3
19.6487E-9,6.0000E+3
19.4372E-9,7.0000E+3
19.2556E-9,8.0000E+3
19.1009E-9,9.0000E+3
18.9608E-9,10.0000E+3
18.0647E-9,20.0000E+3
17.5384E-9,30.0000E+3
17.1618E-9,40.0000E+3
16.8755E-9,50.0000E+3
16.6459E-9,60.0000E+3
16.4562E-9,70.0000E+3
16.2916E-9,80.0000E+3
16.1471E-9,90.0000E+3
16.0190E-9,100.0000E+3
15.1845E-9,200.0000E+3
14.7143E-9,300.0000E+3
14.3782E-9,400.0000E+3
14.1230E-9,500.0000E+3
13.9207E-9,600.0000E+3
13.7517E-9,700.0000E+3
13.6016E-9,800.0000E+3
13.4566E-9,900.0000E+3
13.3100E-9,1.0000E+6
12.0264E-9,2.0000E+6
10.8485E-9,3.0000E+6
9.5526E-9,4.0000E+6
8.4099E-9,5.0000E+6
7.2519E-9,6.0000E+6
6.6643E-9,7.0000E+6
4.4268E-9,8.0000E+6
-215.0462E-12,9.0000E+6
-12.7646E-12,10.0000E+6
,
,
,
,
